County,State,State_FIPS,County_FIPS,total_population
Autauga County,Alabama,01,001,55036.0
Baldwin County,Alabama,01,003,203360.0
Barbour County,Alabama,01,005,26201.0
Bibb County,Alabama,01,007,22580.0
Blount County,Alabama,01,009,57667.0
Bullock County,Alabama,01,011,10478.0
Butler County,Alabama,01,013,20126.0
Calhoun County,Alabama,01,015,115527.0
Chambers County,Alabama,01,017,33895.0
Cherokee County,Alabama,01,019,25855.0
Chilton County,Alabama,01,021,43805.0
Choctaw County,Alabama,01,023,13188.0
Clarke County,Alabama,01,025,24625.0
Clay County,Alabama,01,027,13407.0
Cleburne County,Alabama,01,029,14939.0
Coffee County,Alabama,01,031,51073.0
Colbert County,Alabama,01,033,54435.0
Conecuh County,Alabama,01,035,12649.0
Coosa County,Alabama,01,037,10955.0
Covington County,Alabama,01,039,37519.0
Crenshaw County,Alabama,01,041,13866.0
Cullman County,Alabama,01,043,81703.0
Dale County,Alabama,01,045,49393.0
Dallas County,Alabama,01,047,40755.0
DeKalb County,Alabama,01,049,71194.0
Elmore County,Alabama,01,051,80989.0
Escambia County,Alabama,01,053,37621.0
Etowah County,Alabama,01,055,103132.0
Fayette County,Alabama,01,057,16657.0
Franklin County,Alabama,01,059,31507.0
Geneva County,Alabama,01,061,26572.0
Greene County,Alabama,01,063,8533.0
Hale County,Alabama,01,065,14995.0
Henry County,Alabama,01,067,17110.0
Houston County,Alabama,01,069,104108.0
Jackson County,Alabama,01,071,52326.0
Jefferson County,Alabama,01,073,659460.0
Lamar County,Alabama,01,075,14021.0
Lauderdale County,Alabama,01,077,92590.0
Lawrence County,Alabama,01,079,33288.0
Lee County,Alabama,01,081,156597.0
Limestone County,Alabama,01,083,91695.0
Lowndes County,Alabama,01,085,10362.0
Macon County,Alabama,01,087,19358.0
Madison County,Alabama,01,089,353213.0
Marengo County,Alabama,01,091,19743.0
Marion County,Alabama,01,093,30058.0
Marshall County,Alabama,01,095,94738.0
Mobile County,Alabama,01,097,414328.0
Monroe County,Alabama,01,099,21745.0
Montgomery County,Alabama,01,101,227120.0
Morgan County,Alabama,01,103,119157.0
Perry County,Alabama,01,105,9680.0
Pickens County,Alabama,01,107,20170.0
