County,State,State_FIPS,County_FIPS,native_american_population
Autauga County,Alabama,01,001,114
Baldwin County,Alabama,01,003,1119
Barbour County,Alabama,01,005,92
Bibb County,Alabama,01,007,77
Blount County,Alabama,01,009,342
Bullock County,Alabama,01,011,18
Butler County,Alabama,01,013,30
Calhoun County,Alabama,01,015,330
Chambers County,Alabama,01,017,14
Cherokee County,Alabama,01,019,181
Chilton County,Alabama,01,021,253
Choctaw County,Alabama,01,023,0
Clarke County,Alabama,01,025,492
Clay County,Alabama,01,027,21
Cleburne County,Alabama,01,029,38
Coffee County,Alabama,01,031,441
Colbert County,Alabama,01,033,326
Conecuh County,Alabama,01,035,135
Coosa County,Alabama,01,037,0
Covington County,Alabama,01,039,240
Crenshaw County,Alabama,01,041,101
Cullman County,Alabama,01,043,505
Dale County,Alabama,01,045,137
Dallas County,Alabama,01,047,42
DeKalb County,Alabama,01,049,1044
Elmore County,Alabama,01,051,317
Escambia County,Alabama,01,053,1423
Etowah County,Alabama,01,055,346
Fayette County,Alabama,01,057,36
Franklin County,Alabama,01,059,160
Geneva County,Alabama,01,061,56
Greene County,Alabama,01,063,22
Hale County,Alabama,01,065,30
Henry County,Alabama,01,067,0
Houston County,Alabama,01,069,388
Jackson County,Alabama,01,071,853
Jefferson County,Alabama,01,073,1293
Lamar County,Alabama,01,075,4
Lauderdale County,Alabama,01,077,354
Lawrence County,Alabama,01,079,1883
Lee County,Alabama,01,081,527
Limestone County,Alabama,01,083,482
Lowndes County,Alabama,01,085,28
Macon County,Alabama,01,087,75
Madison County,Alabama,01,089,2005
Marengo County,Alabama,01,091,3
Marion County,Alabama,01,093,65
Marshall County,Alabama,01,095,637
Mobile County,Alabama,01,097,3043
Monroe County,Alabama,01,099,304
Montgomery County,Alabama,01,101,954
Morgan County,Alabama,01,103,1212
Perry County,Alabama,01,105,0
Pickens County,Alabama,01,107,14
Pike County,Alabama,01,109,274
Randolph County,Alabama,01,111,95
Russell County,Alabama,01,113,38
Saint Clair County,Alabama,01,115,433
Shelby County,Alabama,01,117,551
Sumter County,Alabama,01,119,16
Talladega County,Alabama,01,121,270
Tallapoosa County,Alabama,01,123,39
Tuscaloosa County,Alabama,01,125,494
Walker County,Alabama,01,127,191
Washington County,Alabama,01,129,1346
Wilcox County,Alabama,01,131,0
Winston County,Alabama,01,133,46
Anchorage Municipality,Alaska,02,020,18720
Bethel Census Area,Alaska,02,050,13759
Bristol Bay Borough,Alaska,02,060,318
Fairbanks North Star Borough,Alaska,02,090,6705
Haines Borough,Alaska,02,100,211
Juneau City and Borough,Alaska,02,110,3538
Kenai Peninsula Borough,Alaska,02,122,4008
Kodiak Island Borough,Alaska,02,150,2136
Matanuska-Susitna Borough,Alaska,02,170,4045
Nome Census Area,Alaska,02,180,6806
North Slope Borough,Alaska,02,185,5268
Sitka City and Borough,Alaska,02,220,1629
Southeast Fairbanks Census Area,Alaska,02,240,637
Valdez-Cordova Census Area,Alaska,02,261,1568
Wade Hampton Census Area,Alaska,02,270,6797
Northwest Arctic Borough,Alaska,02,188,5955
Aleutians East Borough,Alaska,02,013,474
Aleutians West Census Area,Alaska,02,016,921
Dillingham Census Area,Alaska,02,070,3272
Lake and Peninsula Borough,Alaska,02,164,903
Denali Borough,Alaska,02,068,50
Yukon-Koyukuk Census Area,Alaska,02,290,3823
Hoonah-Angoon Census Area,Alaska,02,105,716
Skagway Municipality,Alaska,02,230,14
Yakutat City and Borough,Alaska,02,282,280
Ketchikan Gateway Borough,Alaska,02,130,1968
Petersburg Borough,Alaska,02,195,400
Prince of Wales-Hyder Census Area,Alaska,02,198,2292
Wrangell City and Borough,Alaska,02,275,415
Apache County,Arizona,04,001,51365
Cochise County,Arizona,04,003,1358
Coconino County,Arizona,04,005,36006
Gila County,Arizona,04,007,7825
Graham County,Arizona,04,009,5210
Greenlee County,Arizona,04,011,156
Maricopa County,Arizona,04,013,70179
Mohave County,Arizona,04,015,3523
Navajo County,Arizona,04,017,45784
Pima County,Arizona,04,019,30976
Pinal County,Arizona,04,021,18923
Santa Cruz County,Arizona,04,023,274
Yavapai County,Arizona,04,025,4068
La Paz County,Arizona,04,012,2548
Yuma County,Arizona,04,027,2791
Arkansas County,Arkansas,05,001,91
Ashley County,Arkansas,05,003,48
Baxter County,Arkansas,05,005,189
Benton County,Arkansas,05,007,3111
Boone County,Arkansas,05,009,249
Bradley County,Arkansas,05,011,154
Calhoun County,Arkansas,05,013,0
Carroll County,Arkansas,05,015,231
Chicot County,Arkansas,05,017,0
Clark County,Arkansas,05,019,43
Clay County,Arkansas,05,021,65
Cleburne County,Arkansas,05,023,136
Cleveland County,Arkansas,05,025,0
Columbia County,Arkansas,05,027,57
Conway County,Arkansas,05,029,136
Craighead County,Arkansas,05,031,340
Crawford County,Arkansas,05,033,718
Crittenden County,Arkansas,05,035,25
Cross County,Arkansas,05,037,81
Dallas County,Arkansas,05,039,4
Desha County,Arkansas,05,041,64
Drew County,Arkansas,05,043,11
Faulkner County,Arkansas,05,045,493
Franklin County,Arkansas,05,047,148
Fulton County,Arkansas,05,049,46
Garland County,Arkansas,05,051,550
Grant County,Arkansas,05,053,17
Greene County,Arkansas,05,055,260
Hempstead County,Arkansas,05,057,103
Hot Spring County,Arkansas,05,059,101
Howard County,Arkansas,05,061,137
Independence County,Arkansas,05,063,163
Izard County,Arkansas,05,065,19
Jackson County,Arkansas,05,067,85
Jefferson County,Arkansas,05,069,92
Johnson County,Arkansas,05,071,259
Lafayette County,Arkansas,05,073,9
Lawrence County,Arkansas,05,075,107
Lee County,Arkansas,05,077,34
Lincoln County,Arkansas,05,079,42
Little River County,Arkansas,05,081,126
Logan County,Arkansas,05,083,251
Lonoke County,Arkansas,05,085,401
Madison County,Arkansas,05,087,143
Marion County,Arkansas,05,089,168
Miller County,Arkansas,05,091,181
Mississippi County,Arkansas,05,093,51
Monroe County,Arkansas,05,095,15
Montgomery County,Arkansas,05,097,156
Nevada County,Arkansas,05,099,26
Newton County,Arkansas,05,101,32
Ouachita County,Arkansas,05,103,79
Perry County,Arkansas,05,105,53
Phillips County,Arkansas,05,107,15
Pike County,Arkansas,05,109,128
Poinsett County,Arkansas,05,111,54
Polk County,Arkansas,05,113,381
Pope County,Arkansas,05,115,484
Prairie County,Arkansas,05,117,0
Pulaski County,Arkansas,05,119,1029
Randolph County,Arkansas,05,121,24
Saint Francis County,Arkansas,05,123,134
Saline County,Arkansas,05,125,583
Scott County,Arkansas,05,127,171
Searcy County,Arkansas,05,129,54
Sebastian County,Arkansas,05,131,951
Sevier County,Arkansas,05,133,223
Sharp County,Arkansas,05,135,103
Stone County,Arkansas,05,137,6
Union County,Arkansas,05,139,104
Van Buren County,Arkansas,05,141,142
Washington County,Arkansas,05,143,2354
White County,Arkansas,05,145,164
Woodruff County,Arkansas,05,147,5
Yell County,Arkansas,05,149,30
Alameda County,California,06,001,7102
Alpine County,California,06,003,237
Amador County,California,06,005,889
Butte County,California,06,007,2513
Calaveras County,California,06,009,571
Colusa County,California,06,011,288
Contra Costa County,California,06,013,4375
Del Norte County,California,06,015,1571
El Dorado County,California,06,017,1802
Fresno County,California,06,019,8894
Glenn County,California,06,021,768
Humboldt County,California,06,023,7718
Imperial County,California,06,025,3020
Inyo County,California,06,027,1846
Kern County,California,06,029,9132
Kings County,California,06,031,1927
Lake County,California,06,033,2031
Lassen County,California,06,035,1300
Los Angeles County,California,06,037,49329
Madera County,California,06,039,2541
Marin County,California,06,041,793
Mariposa County,California,06,043,335
Mendocino County,California,06,045,4273
Merced County,California,06,047,2617
Modoc County,California,06,049,327
Mono County,California,06,051,633
Monterey County,California,06,053,3826
Napa County,California,06,055,982
Nevada County,California,06,057,1184
Orange County,California,06,059,12548
Placer County,California,06,061,2654
Plumas County,California,06,063,559
Riverside County,California,06,065,21493
Sacramento County,California,06,067,13019
San Benito County,California,06,069,693
San Bernardino County,California,06,071,20762
San Diego County,California,06,073,20597
San Francisco County,California,06,075,3733
San Joaquin County,California,06,077,6782
San Luis Obispo County,California,06,079,2625
San Mateo County,California,06,081,2469
Santa Barbara County,California,06,083,4191
Santa Clara County,California,06,085,9906
Santa Cruz County,California,06,087,1237
Shasta County,California,06,089,3855
Sierra County,California,06,091,11
Siskiyou County,California,06,093,1287
Solano County,California,06,095,2427
Sonoma County,California,06,097,5962
Stanislaus County,California,06,099,5270
Sutter County,California,06,101,1428
Tehama County,California,06,103,1426
Trinity County,California,06,105,237
Tulare County,California,06,107,5635
Tuolumne County,California,06,109,1008
Ventura County,California,06,111,9186
Yolo County,California,06,113,2485
Yuba County,California,06,115,1403
Alamosa County,Colorado,08,003,125
Archuleta County,Colorado,08,007,29
Baca County,Colorado,08,009,24
Bent County,Colorado,08,011,206
Chaffee County,Colorado,08,015,148
Cheyenne County,Colorado,08,017,0
Clear Creek County,Colorado,08,019,46
Conejos County,Colorado,08,021,78
Costilla County,Colorado,08,023,15
Crowley County,Colorado,08,025,115
Custer County,Colorado,08,027,28
Delta County,Colorado,08,029,186
Dolores County,Colorado,08,033,45
Douglas County,Colorado,08,035,867
Eagle County,Colorado,08,037,132
Elbert County,Colorado,08,039,141
El Paso County,Colorado,08,041,4940
Fremont County,Colorado,08,043,967
Garfield County,Colorado,08,045,239
Gilpin County,Colorado,08,047,24
Grand County,Colorado,08,049,48
Gunnison County,Colorado,08,051,418
Huerfano County,Colorado,08,055,179
Jackson County,Colorado,08,057,6
Kiowa County,Colorado,08,061,3
Kit Carson County,Colorado,08,063,35
Lake County,Colorado,08,065,154
La Plata County,Colorado,08,067,3177
Larimer County,Colorado,08,069,1779
Las Animas County,Colorado,08,071,306
Lincoln County,Colorado,08,073,88
Logan County,Colorado,08,075,31
Mesa County,Colorado,08,077,1641
Moffat County,Colorado,08,081,351
Montezuma County,Colorado,08,083,2958
Montrose County,Colorado,08,085,277
Morgan County,Colorado,08,087,211
Otero County,Colorado,08,089,638
Ouray County,Colorado,08,091,16
Park County,Colorado,08,093,101
Phillips County,Colorado,08,095,24
Pitkin County,Colorado,08,097,60
Prowers County,Colorado,08,099,24
Pueblo County,Colorado,08,101,2972
Rio Blanco County,Colorado,08,103,80
Rio Grande County,Colorado,08,105,160
Routt County,Colorado,08,107,166
Saguache County,Colorado,08,109,101
San Miguel County,Colorado,08,113,34
Sedgwick County,Colorado,08,115,11
Summit County,Colorado,08,117,162
Teller County,Colorado,08,119,171
Washington County,Colorado,08,121,23
Yuma County,Colorado,08,125,45
Adams County,Colorado,08,001,4549
Arapahoe County,Colorado,08,005,4637
Boulder County,Colorado,08,013,1153
Broomfield County,Colorado,08,014,85
Denver County,Colorado,08,031,7039
Jefferson County,Colorado,08,059,3549
Weld County,Colorado,08,123,2378
Fairfield County,Connecticut,09,001,1207
Hartford County,Connecticut,09,003,2163
Litchfield County,Connecticut,09,005,453
Middlesex County,Connecticut,09,007,222
New Haven County,Connecticut,09,009,1924
New London County,Connecticut,09,011,1606
Tolland County,Connecticut,09,013,213
Windham County,Connecticut,09,015,316
Kent County,Delaware,10,001,768
New Castle County,Delaware,10,003,1457
Sussex County,Delaware,10,005,884
Alachua County,Florida,12,001,535
Baker County,Florida,12,003,33
Bay County,Florida,12,005,891
Bradford County,Florida,12,007,41
Brevard County,Florida,12,009,1808
Broward County,Florida,12,011,3848
Calhoun County,Florida,12,013,210
Charlotte County,Florida,12,015,341
Citrus County,Florida,12,017,682
Clay County,Florida,12,019,656
Collier County,Florida,12,021,661
Columbia County,Florida,12,023,371
Miami-Dade County,Florida,12,086,3902
DeSoto County,Florida,12,027,86
Dixie County,Florida,12,029,19
Duval County,Florida,12,031,2556
Escambia County,Florida,12,033,1731
Flagler County,Florida,12,035,188
Franklin County,Florida,12,037,8
Gadsden County,Florida,12,039,115
Gilchrist County,Florida,12,041,54
Glades County,Florida,12,043,380
Gulf County,Florida,12,045,228
Hamilton County,Florida,12,047,57
Hardee County,Florida,12,049,226
Hendry County,Florida,12,051,492
Hernando County,Florida,12,053,358
Highlands County,Florida,12,055,755
Hillsborough County,Florida,12,057,6745
Holmes County,Florida,12,059,174
Indian River County,Florida,12,061,209
Jackson County,Florida,12,063,200
Jefferson County,Florida,12,065,22
Lafayette County,Florida,12,067,6
Lake County,Florida,12,069,1072
Lee County,Florida,12,071,2572
Leon County,Florida,12,073,1002
Levy County,Florida,12,075,88
Liberty County,Florida,12,077,98
Madison County,Florida,12,079,82
Manatee County,Florida,12,081,756
